org_id remap_id freebase_id
474 0 m.0320gs
465 1 m.0599rp
1014 2 m.047nzpn
222 3 m.047q4xt
387 4 m.0838sl
1042 5 m.0pvms
392 6 m.02pny3k
486 7 m.0bq6zl
144 8 m.0676l_
1 9 m.0dyb1
95 10 m.02lgqm
277 11 m.051xs93
234 12 m.0fpdlt
98 13 m.0cts7b
193 14 m.0n83s
88 15 m.040mt6
274 16 m.09zxs9
603 17 m.02rv7cr
32 18 m.07j6w
16 19 m.033hmj
304 20 m.0bpbgy
327 21 m.0287z_j
201 22 m.03m4mm7
1137 23 m.059xf1
241 24 m.033_kx
4 25 m.03vny7
100 26 m.03_w9b
322 27 m.05m55b
181 28 m.0344xk
196 29 m.032_76
384 30 m.0dtknf
143 31 m.0265qmj
423 32 m.08ljr5
515 33 m.05cvgl
219 34 m.05tjh8
919 35 m.02q52q
26 36 m.0fdlc6
427 37 m.0k9c7
512 38 m.0fs0m9
165 39 m.01_1hw
248 40 m.04wdyj
229 41 m.0b3w_9n
237 42 m.026yq3c
480 43 m.0hx4y
366 44 m.01yvmf
518 45 m.03mczbc
111 46 m.07cw4
625 47 m.07ydny4
338 48 m.01j3gd
25 49 m.0f4vx
1016 50 m.031ryv
154 51 m.03gcyx
1153 52 m.06jbs4
498 53 m.0c3wmn
209 54 m.06qt3b
23 55 m.0946bb
382 56 m.032xx4
208 57 m.02z9rr
328 58 m.034fg8
496 59 m.02w85v9
132 60 m.0bdhfg
174 61 m.071fr7
118 62 m.0dy575
96 63 m.03d7rz
151 64 m.033_m2
307 65 m.01470k
648 66 m.035w2k
346 67 m.071v0j
514 68 m.04n04q
789 69 m.04j2pzy
317 70 m.0129g2
195 71 m.0fz8lt
200 72 m.06_wvvd
750 73 m.02dwj
1147 74 m.037q31
379 75 m.055q2z
815 76 m.07kcjng
479 77 m.03dymt
272 78 m.016z7s
955 79 m.0jq56
504 80 m.07cj2v
466 81 m.04_rjv
135 82 m.02zzbh
117 83 m.05jzbl
273 84 m.04ltlj
177 85 m.04xdbd
231 86 m.0372j5
294 87 m.0dj_dz
137 88 m.0gwn2z
164 89 m.0bw6fj
298 90 m.03rwl1
79 91 m.06pxbc
455 92 m.02qwyz
755 93 m.0gzvqs
673 94 m.01n8hp
172 95 m.0ktdb
216 96 m.036z1n
452 97 m.0f7y0z
61 98 m.06tw0x
48 99 m.023p7l
360 100 m.07pr1q
483 101 m.04c4fd
220 102 m.0fyt9h
255 103 m.015kly
471 104 m.016y0b
202 105 m.03d7p0
408 106 m.0cdnx1
228 107 m.0b6j4zh
1098 108 m.02877g1
347 109 m.03glth
178 110 m.04j5f5
478 111 m.04mc6w
14 112 m.016z9n
10 113 m.01npcx
127 114 m.05h4w1r
69 115 m.016rw2
790 116 m.0465gbw
554 117 m.05myy97
109 118 m.0432qz_
171 119 m.061dj0
318 120 m.07jnt
568 121 m.07zjqm
65 122 m.06v9zs
339 123 m.01gzmk
68 124 m.02phv5s
7 125 m.04wdfw
218 126 m.03ddd5
258 127 m.01q41m
623 128 m.0bhb2sm
344 129 m.01xlh5
56 130 m.0crw_l5
89 131 m.063dp0
576 132 m.04j2q23
133 133 m.0cryjb9
153 134 m.01hr1
813 135 m.0c50k1
507 136 m.09l98n
595 137 m.0_7w6
11 138 m.01m3wp
520 139 m.02pp19
385 140 m.02qpw46
767 141 m.04q31tk
705 142 m.04j2ncz
64 143 m.03h193t
357 144 m.02_kd
484 145 m.02823rl
508 146 m.02d413
77 147 m.0crxg29
215 148 m.03dbg_
749 149 m.0by1wcr
204 150 m.0hqs9
33 151 m.06mk7b
160 152 m.03tn80
321 153 m.0260n18
343 154 m.039xvx
1197 155 m.07nn0
134 156 m.0bnthvd
256 157 m.04jnxl
662 158 m.02thnm
2 159 m.09w353
410 160 m.03kxj2
271 161 m.03qfr0
1086 162 m.0k7tq
649 163 m.06dybp
302 164 m.05xss5
197 165 m.02qmjbc
199 166 m.012h32
169 167 m.0341k8
333 168 m.03dxs5
378 169 m.0ch0zt
425 170 m.03b24y
286 171 m.09gnqh6
558 172 m.04njrl
206 173 m.027rghz
402 174 m.09z3z0x
640 175 m.0bm853
522 176 m.04xvqk
265 177 m.03hjw08
12 178 m.02_lmb
20 179 m.0bhh9g
462 180 m.03hkpbj
163 181 m.02zkjw
186 182 m.033t6r
731 183 m.09m6px
781 184 m.05zr1l
176 185 m.067g4b
1181 186 m.0gksh95
188 187 m.070pcg
699 188 m.0crtvd_
604 189 m.0crsf5m
97 190 m.02hhfl
173 191 m.07b1gq
715 192 m.0cdwjp
17 193 m.011yg9
315 194 m.074rg9
15 195 m.02_gjg
80 196 m.0czthm
238 197 m.0kv72r
60 198 m.0d2c_d
531 199 m.049cgk
288 200 m.059rc
194 201 m.05wt50
596 202 m.019kyn
211 203 m.02pq1yv
1060 204 m.01ylt7
404 205 m.0crvdkk
210 206 m.04cr1c3
191 207 m.08lr6s
156 208 m.034d5_
1067 209 m.07qb96
246 210 m.01z9n6
419 211 m.0615_9
475 212 m.0_b3d
182 213 m.03nr5vw
50 214 m.016fyc
526 215 m.02740q8
365 216 m.05n1yj
187 217 m.0prcz
185 218 m.01sk1v
712 219 m.02r8x3z
742 220 m.09c7rx
168 221 m.04dxrl
150 222 m.011yd2
381 223 m.03681w
922 224 m.0k4fz
721 225 m.04j0y1t
611 226 m.09yqn5
943 227 m.071tng
126 228 m.08jc0x
680 229 m.0126nh
1061 230 m.035xwd
900 231 m.05dmmc
941 232 m.044vd3
744 233 m.0bysb20
642 234 m.0glz88y
121 235 m.0gkqtv
845 236 m.07wwcbq
597 237 m.014l6_
303 238 m.037c_d
81 239 m.09kzfd
198 240 m.04tzz5
864 241 m.09g6f0s
1099 242 m.04qyjx
1028 243 m.0kcn7
961 244 m.03yd1p4
399 245 m.0661cf2
1039 246 m.0b79j3
1114 247 m.02wjh2
292 248 m.036r3f
217 249 m.03whyrr
70 250 m.029k4p
242 251 m.028r88
417 252 m.030bg4
235 253 m.02lxrv
631 254 m.09mnhy
430 255 m.0bcyw8
71 256 m.05mk_y
809 257 m.0fghvz
289 258 m.0280m2w
293 259 m.04q5g
497 260 m.05gv03
268 261 m.03n_zn
655 262 m.04j0n62
588 263 m.0jnwx
367 264 m.05567m
661 265 m.037s6_
665 266 m.019z8l
692 267 m.084s4k
86 268 m.07chp9
407 269 m.01yfqz
709 270 m.01z0n6
1198 271 m.0f4yh
609 272 m.0d7vdj
128 273 m.0crt7p_
432 274 m.08qb0q
22 275 m.08vz4p
866 276 m.01l25p
626 277 m.03fk2k
707 278 m.081q6m
586 279 m.01fmys
147 280 m.08xnxg
405 281 m.0c2jk9
492 282 m.04k9yp
55 283 m.04y0t6
161 284 m.04sg0b
1070 285 m.06vf_w
449 286 m.04007r
509 287 m.0_b9f
39 288 m.0qjzd
1100 289 m.02_nsc
823 290 m.0d89jg
660 291 m.04q986h
796 292 m.06sgvs
1022 293 m.023p33
120 294 m.0d1s9b
57 295 m.08pv2d
52 296 m.04t9c0
230 297 m.02qqrpy
506 298 m.03prz_
566 299 m.0d7mv2
774 300 m.03hp16n
433 301 m.0ck_1y
1047 302 m.03305j
99 303 m.05dpjl
190 304 m.06fph5
82 305 m.02qwvbs
287 306 m.04j2cq9
659 307 m.04ppds
269 308 m.0277py5
806 309 m.048r690
443 310 m.02vklgp
183 311 m.03nvnqk
746 312 m.0jqys
654 313 m.0gk99tc
736 314 m.01s7w3
92 315 m.06m815
129 316 m.03y8jc1
9 317 m.0bcy50
233 318 m.029903
589 319 m.07gp9
203 320 m.03khj_
923 321 m.01lsl
463 322 m.030xw6
1217 323 m.0k2m6
748 324 m.0bswf7
285 325 m.0gkrtx9
447 326 m.0by509
301 327 m.027xtwf
175 328 m.02ww1t
421 329 m.0kvgrv
937 330 m.0b2f87
583 331 m.0h1_31
251 332 m.027stvn
281 333 m.016z84
926 334 m.0bj25
53 335 m.04_gsw
393 336 m.04nssc
761 337 m.0d99k_
741 338 m.01kzd_v
8 339 m.031hvc
93 340 m.08nltc
305 341 m.0fz80g
491 342 m.07xmz1
511 343 m.09fgyt
162 344 m.03jfly
513 345 m.08ktmx
375 346 m.02w_mq_
725 347 m.03205n
72 348 m.05spx3
663 349 m.02fjzg
125 350 m.0mdlf
751 351 m.026sy10
105 352 m.0dr89x
73 353 m.04n2_y
87 354 m.07lz26
1178 355 m.05sjq
523 356 m.088rwz
685 357 m.0dv0yn
324 358 m.06zt03h
213 359 m.08tk2f
963 360 m.0kvg94
875 361 m.0gkr997
418 362 m.04bqtt
1033 363 m.04xg4z
275 364 m.0d0stl
59 365 m.07f9c2
1078 366 m.04t6jm
585 367 m.06r5q1
148 368 m.043m98y
616 369 m.01ydq5
945 370 m.0gnjh
792 371 m.02x42st
892 372 m.02rtqvb
472 373 m.0blfnd
85 374 m.070jd7
516 375 m.01sr58
436 376 m.07nnp_
78 377 m.070178
847 378 m.04j34v5
47 379 m.01dc0c
451 380 m.06wmvw
517 381 m.0603hj
602 382 m.04zxc5w
257 383 m.07l5v6
703 384 m.0djqxp
28 385 m.09rnxj
949 386 m.01qkt1
488 387 m.02b7j8
114 388 m.05sm_1
24 389 m.07_l0f
403 390 m.0byspp7
43 391 m.016z30
487 392 m.02x0fvc
670 393 m.0545gy
510 394 m.06974q
372 395 m.01z7v5
189 396 m.03yj1dh
435 397 m.05yxmk
747 398 m.0gxtnd
879 399 m.077dw1
835 400 m.03nfc4
240 401 m.02q4sd5
316 402 m.070g7
331 403 m.03bxnf
429 404 m.0ph12
868 405 m.074f6p
763 406 m.03c6f0_
1019 407 m.0dqg_9
580 408 m.06wp_k
676 409 m.0h3q167
930 410 m.01ltq_
1012 411 m.05tg9g
693 412 m.07k7n5w
253 413 m.02p76f9
13 414 m.0559wc
428 415 m.02t4w7
411 416 m.09jwj8
527 417 m.0hfzr
573 418 m.0kv7qj
1397 419 m.04_2tf
54 420 m.0cnw7k
113 421 m.0dmnww
116 422 m.052c0b
1150 423 m.04_c0y
5 424 m.094g2z
723 425 m.06zkp49
690 426 m.04jl57t
582 427 m.04j1h9n
778 428 m.0qf2t
280 429 m.0586x1
184 430 m.08489x
250 431 m.040ntm
1007 432 m.05l1ky
641 433 m.09kt_1
1101 434 m.018js4
904 435 m.0jwvf
58 436 m.011yfd
312 437 m.05qss9
416 438 m.0330k3
627 439 m.079b9l
485 440 m.032016
300 441 m.011ycb
499 442 m.02qrrgg
1186 443 m.0221zw
1057 444 m.0blpg
207 445 m.06nq0j
180 446 m.01jc1h
657 447 m.06w3_kl
671 448 m.03sc3z
1046 449 m.0by8jpy
83 450 m.04j0357
482 451 m.030xp1
647 452 m.01j5ql
227 453 m.06kt1h
1021 454 m.08fm68
679 455 m.0c03cl_
855 456 m.0b_tz5y
1044 457 m.07nvl4
1245 458 m.0ff4w
848 459 m.08sytx
448 460 m.02yxx
718 461 m.06tqpj
295 462 m.04j2b_y
1107 463 m.0gks3yq
716 464 m.026ks2y
553 465 m.02ljhg
313 466 m.0b8l01
1129 467 m.02p5d
290 468 m.02qxd_l
494 469 m.0hqrx
687 470 m.0d4q15
921 471 m.016k80
42 472 m.0337y9
469 473 m.03zyv4
279 474 m.04xndx
547 475 m.09bcv0
501 476 m.05pws0
157 477 m.0328vs
535 478 m.0320fn
470 479 m.054vqy
282 480 m.01dh6f
1286 481 m.03p_np
252 482 m.074fx1
525 483 m.0bvdhxr
340 484 m.060_dp
530 485 m.02pmcp1
528 486 m.07j9t1
708 487 m.034d47
226 488 m.0gbls41
550 489 m.06597h
732 490 m.06kzhp
334 491 m.04kzxz
1284 492 m.05k7xj
1298 493 m.058ymm
332 494 m.05r1q4
529 495 m.02rhjj
840 496 m.0d7w7t
244 497 m.0dh_gg
1228 498 m.06cm5
34 499 m.011ydl
90 500 m.0gh6kg6
1005 501 m.079ntq
1281 502 m.0gy4z
356 503 m.0bdjd
762 504 m.01r97z
793 505 m.0b7bnkc
766 506 m.0286vp
1206 507 m.05ldxl
370 508 m.062b7h
1115 509 m.0crrs61
179 510 m.0ckff6
1376 511 m.0m5s5
559 512 m.02qshlr
615 513 m.026xqyw
682 514 m.0crrdrd
409 515 m.08dk10
107 516 m.05351g
697 517 m.01pzf8
581 518 m.06k1j_
214 519 m.09fnd1
306 520 m.014bjk
684 521 m.0797d9
106 522 m.0gkr0pf
267 523 m.059vwy
1011 524 m.06llvx
853 525 m.09hl_z
311 526 m.03gqqb5
1073 527 m.017kz7
361 528 m.08jl3y
704 529 m.06n6yx
380 530 m.0hwpz
591 531 m.0gks1vb
260 532 m.0dtfn
990 533 m.0bmjx4
299 534 m.061ffq
969 535 m.0hv27
223 536 m.01chyt
965 537 m.09xcn4
239 538 m.014d_k
652 539 m.09xvch
1059 540 m.01cssf
493 541 m.032l5l
959 542 m.026pqmj
62 543 m.016z98
431 544 m.0337wr
939 545 m.0kvbdg
44 546 m.03wj_q
765 547 m.033856
67 548 m.02rzn2b
797 549 m.05syn7s
1095 550 m.06d0fg
546 551 m.01dybc
345 552 m.02fwfb
1194 553 m.04p80y
905 554 m.0c5dd
505 555 m.03rtz1
464 556 m.05j3s1
536 557 m.0cr7n8
249 558 m.027q85
3 559 m.0676dr
544 560 m.06p52b
170 561 m.01n4z6
1518 562 m.05rrvj
413 563 m.03qfpk
325 564 m.0blpwc
326 565 m.04xp9b
123 566 m.01f8gz
628 567 m.0422v0
262 568 m.096v5f
31 569 m.054k8z
1041 570 m.02wk7b
414 571 m.07vb73
66 572 m.0kvc36
490 573 m.06wmkz
115 574 m.07_dss
1218 575 m.02b63c
192 576 m.09g95_c
284 577 m.04j295l
124 578 m.064zgw
167 579 m.0fp4r1
570 580 m.0bhgtxq
843 581 m.04j03hm
849 582 m.033v5p
842 583 m.034fgm
420 584 m.049kmb
