org_id remap_id freebase_id
3408 0 m.04lhc4
2355 1 m.02c7k4
1287 2 m.04v8x9
2804 3 m.03r6_w
594 4 m.0k4d7
919 5 m.02q52q
595 6 m.0_7w6
938 7 m.05sbv3
2398 8 m.0ktx_
2918 9 m.0m491
1035 10 m.0cq7tx
2791 11 m.0ckt6
2018 12 m.04j1zjw
3105 13 m.0y_hb
2797 14 m.016ky6
1270 15 m.0bt4g
527 16 m.0hfzr
48 17 m.023p7l
1097 18 m.0jqn5
1721 19 m.0dr_4
1545 20 m.08gl5b
2294 21 m.01dc46
3186 22 m.098s2w
1566 23 m.016017
588 24 m.0jnwx
1907 25 m.0fgrm
783 26 m.0241y7
1836 27 m.08jfdl
1022 28 m.023p33
2762 29 m.07j94
150 30 m.011yd2
1 31 m.0dyb1
1961 32 m.0yx_w
1962 33 m.0yyts
2692 34 m.02chjf
260 35 m.0dtfn
1028 36 m.0kcn7
1029 37 m.0175k8
1207 38 m.0ccck7
2028 39 m.07024
531 40 m.049cgk
3114 41 m.01xdxy
608 42 m.011yhm
1246 43 m.0yzbg
3421 44 m.0j_tw
1394 45 m.01pnf9
104 46 m.023vcd
2735 47 m.06m7yq
1210 48 m.0ddjy
1079 49 m.01sxly
1615 50 m.018tmf
1291 51 m.0h_b6x1
1259 52 m.0m2kd
653 53 m.03y_zj
2167 54 m.02djzj
2858 55 m.0c0zq
1049 56 m.02kfzz
552 57 m.0698w6
480 58 m.0hx4y
1266 59 m.0_92w
733 60 m.07bx6
1196 61 m.0f3m1
590 62 m.0y_9q
1197 63 m.07nn0
1198 64 m.0f4yh
1378 65 m.031tc2
1379 66 m.031zk3
3552 67 m.01fxw4
1304 68 m.0p9tm
2470 69 m.01wzyq
3168 70 m.0jqp3
3671 71 m.018f8
2006 72 m.034b6k
2871 73 m.0pttd
2115 74 m.0k_9j
1968 75 m.07cfg
1136 76 m.04zl8
2081 77 m.01ry_x
3468 78 m.0283_zv
2951 79 m.028zh1
1214 80 m.067ghz
1036 81 m.0p3_y
1954 82 m.0cf08
3418 83 m.026390q
3702 84 m.01ly1t
2366 85 m.048rn
1387 86 m.0jyb4
1201 87 m.07rty
2947 88 m.01kf5lf
1240 89 m.07ghq
2406 90 m.02rxf6
1101 91 m.018js4
3717 92 m.03ljpk
1030 93 m.01_4h2
1688 94 m.01pvxl
3578 95 m.09q5w2
364 96 m.0m63c
3501 97 m.016kmf
3072 98 m.0yxm1
368 99 m.021jdm
3074 100 m.02_hht
1188 101 m.02n9bh
1043 102 m.08hlty
597 103 m.014l6_
383 104 m.08mg_b
1569 105 m.01pgnr
3604 106 m.0ggm6f
2802 107 m.03tb__
3534 108 m.07gb81
3536 109 m.0697_g
3753 110 m.0gltv
838 111 m.07tj4c
1947 112 m.0ccd3x
2966 113 m.07q1m
266 114 m.02__34
17 115 m.011yg9
3699 116 m.016kc2
1441 117 m.028f12
1088 118 m.032clf
912 119 m.0ft18
199 120 m.012h32
914 121 m.0cq7kw
3624 122 m.01f6x7
2396 123 m.0m313
1380 124 m.01xlqd
920 125 m.083skw
569 126 m.08lvkh
1674 127 m.0llcx
3565 128 m.0c2wy
34 129 m.011ydl
648 130 m.035w2k
861 131 m.03_95w
2916 132 m.0fd4x
