org_id remap_id
film.film.language 0
film.film.country 1
film.film.genre 2
film.film.music 3
film.film.directed_by 4
film.film.written_by 5
film.film.cinematography 6
film.film.edited_by 7
film.film.film_production_design_by 8
film.film.film_set_decoration_by 9
film.film.costume_design_by 10
film.film.film_format 11
film.film.produced_by 12
film.film.executive_produced_by 13
film.film.rating 14
film.film.primary_language 15
film.film.starring 16
film.film.production_companies 17
film.film.film_art_direction_by 18
film.film.estimated_budget 19
film.film.soundtrack 20
film.film.subjects 21
film.film.personal_appearances 22
film.film.gross_revenue 23
film.film.film_collections 24
film.film.songs 25
